CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT
0.43571;0.00;10.590;1;0.4890;5.3440;100.00;3.8750;4;277.0;18.60;396.90;23.09
0.09512;0.00;12.830;0;0.4370;6.2860;45.00;4.5026;5;398.0;18.70;383.23;8.94
7.52601;0.00;18.100;0;0.7130;6.4170;98.30;2.1850;24;666.0;20.20;304.21;19.31
2.33099;0.00;19.580;0;0.8710;5.1860;93.80;1.5296;5;403.0;14.70;356.99;28.32
0.11329;30.00;4.930;0;0.4280;6.8970;54.30;6.3361;6;300.0;16.60;391.25;11.38
0.26938;0.00;9.900;0;0.5440;6.2660;82.80;3.2628;4;304.0;18.40;393.39;7.90
0.22438;0.00;9.690;0;0.5850;6.0270;79.70;2.4982;6;391.0;19.20;396.90;14.33
4.64689;0.00;18.100;0;0.6140;6.9800;67.60;2.5329;24;666.0;20.20;374.68;11.66
9.59571;0.00;18.100;0;0.6930;6.4040;100.00;1.6390;24;666.0;20.20;376.11;20.31
0.35114;0.00;7.380;0;0.4930;6.0410;49.90;4.7211;5;287.0;19.60;396.90;7.70
0.05646;0.00;12.830;0;0.4370;6.2320;53.70;5.0141;5;398.0;18.70;386.40;12.34
16.81180;0.00;18.100;0;0.7000;5.2770;98.10;1.4261;24;666.0;20.20;396.90;30.81
9.91655;0.00;18.100;0;0.6930;5.8520;77.80;1.5004;24;666.0;20.20;338.16;29.97
0.02009;95.00;2.680;0;0.4161;8.0340;31.90;5.1180;4;224.0;14.70;390.55;2.88
2.77974;0.00;19.580;0;0.8710;4.9030;97.80;1.3459;5;403.0;14.70;396.90;29.29
0.28392;0.00;7.380;0;0.4930;5.7080;74.30;4.7211;5;287.0;19.60;391.13;11.74
4.09740;0.00;19.580;0;0.8710;5.4680;100.00;1.4118;5;403.0;14.70;396.90;26.42
0.06466;70.00;2.240;0;0.4000;6.3450;20.10;7.8278;5;358.0;14.80;368.24;4.97
0.13158;0.00;10.010;0;0.5470;6.1760;72.50;2.7301;6;432.0;17.80;393.30;12.04
1.38799;0.00;8.140;0;0.5380;5.9500;82.00;3.9900;4;307.0;21.00;232.60;27.71
10.67180;0.00;18.100;0;0.7400;6.4590;94.80;1.9879;24;666.0;20.20;43.06;23.98
0.03306;0.00;5.190;0;0.5150;6.0590;37.30;4.8122;5;224.0;20.20;396.14;8.51
0.36894;22.00;5.860;0;0.4310;8.2590;8.40;8.9067;7;330.0;19.10;396.90;3.54
0.01501;80.00;2.010;0;0.4350;6.6350;29.70;8.3440;4;280.0;17.00;390.94;5.99
0.76162;20.00;3.970;0;0.6470;5.5600;62.80;1.9865;5;264.0;13.00;392.40;10.45
0.21409;22.00;5.860;0;0.4310;6.4380;8.90;7.3967;7;330.0;19.10;377.07;3.59
0.75026;0.00;8.140;0;0.5380;5.9240;94.10;4.3996;4;307.0;21.00;394.33;16.30
0.72580;0.00;8.140;0;0.5380;5.7270;69.50;3.7965;4;307.0;21.00;390.95;11.28
0.06588;0.00;2.460;0;0.4880;7.7650;83.30;2.7410;3;193.0;17.80;395.56;7.56
0.12816;12.50;6.070;0;0.4090;5.8850;33.00;6.4980;4;345.0;18.90;396.90;8.79
0.10084;0.00;10.010;0;0.5470;6.7150;81.60;2.6775;6;432.0;17.80;395.59;10.16
0.04819;80.00;3.640;0;0.3920;6.1080;32.00;9.2203;1;315.0;16.40;392.89;6.57
